question,answer,image_urls
"If I give a cat ""IAMS cat food"" its whole life will it be healthy? Also are there any cat vegan alternative diets? Replace taurine with something vegan perhaps?","Yes, there’s a brand of vegan cat food. It was created by a chiropractor who had his license to practice suspended, has been caught pretending to be a veterinarian
several times, killed a cat who was in his “care” as a “veterinarian,” and was convicted
of making false claims about his pet food while “prescribing” treatments for cats and dogs. Would you like to trust that guy, or the thousands of veterinarians and veterinary nutritionists who point out cats are obligate carnivores? Feeding your cat a vegan diet means you’re condemning your little friend to eventual blindness, internal organ shutdown and a slow, torturous death. Please don’t do it. Don’t take my word for it: Read Rai Khalsa, one of Quora’s resident veterinarians, describe discovering the effects of meat deprivation in cats first-hand. It’s a great read from someone who is an authoritative expert in this area. Other veterinarians here on Quora have weighed in on this topic as well. As for feeding your cat a healthy diet, without getting into specific brands here are a few guidelines: Good luck. (“And as I snap my paws you will stare into my intense green eyes and feel very relaxed. So relaxed, in fact, that you want to go into the kitchen and retrieve the turkey treats. Your eyelids are getting heavy. Why don’t you lay down on the couch and listen to the meownd of my voice as you open the treat bag and set it on the floor? So relaxing. That’s right, Buddy will take care of the snacks. You’re very tired, you’re yawning…”)","['https://qph.cf2.quoracdn.net/main-thumb-91689262-50-atasocskwcgnkvqdjlowlrdholtgupdz.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-6341a938478da49ee07573697d650b02-lq']"
What are the best tasting vegan cheese substitutes?,"Cashew cheese is amazing! It tastes creamy and spreads beautifully on crackers. It's so tasty that it tastes similar to cheese, I think. I buy mine from the Tyne chease company. Ethiopian spice is my favourite. TYNE CHEASE | Artisan Organic Cultured
Vegan
Cheese | Dairy-Free There is also a book called “the cheese is nuts!” which tells you how to make it, or something similar yourself. I've not tried it yet, but I plan to soon. Don't knock it til you've tried it! Alternatively, viola cheese is nice. It's got the texture of edam and is good for pizzas, although it sticks to the roof of your mouth. I like sheeze too and sometimes buy the feta one for pizza too.",['https://qph.cf2.quoracdn.net/main-thumb-70192134-50-nprqxoufnstptnstbyslmqipcapxclek.jpeg']
What are vegan alternates to a traditional pasta and meat dish using a red sauce?,"What are vegan alternates to a traditional pasta and meat dish using a red sauce? Vegans don’t eat meat because they don’t like the idea of eating meat. Don’t replace the meat with a vegan alternative like Boca or Tofurkey or Beyond Meat. Instead, substitute roasted or sautéed small whole whole mushrooms, seasoned with some onion and/or garlic. Use double the weight of mushrooms compared to the meat you might otherwise use. Or make something with beans or lentils, if you are concerned with nutritional substitution.",['https://qph.cf2.quoracdn.net/main-thumb-1976283-50-llmclbbpuezhplcypupbqlllautelzlc.jpeg']
Why does Queen Elizabeth II not say anything about Meghan Markle?,"According to a recent book, the Queen reprimanded Meghan Markle for complaining to a caterer about her vegan wedding food. Prior to the Duchess of Sussex's 2018 wedding to Prince Harry, Her Majesty is claimed to have interrupted the ""heated exchange"" when she was being laid to rest on Monday. Meghan reportedly grew "" quite upset"" with one of the vegan alternatives while she was sampling dishes for her big day at Windsor Castle Read my comments for more details","['https://qph.cf2.quoracdn.net/main-thumb-1748143021-50-prcyqtarkkixqzdjqakwpzasaqrrevww.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-d3e66b3e277dbfca6eba5bec5455e3bc']"
What are some good vegan alternatives to milk?,"Members Mark (Sam’s Club) unsweetened vanilla Almond Milk is an excellent vegan alternative to cow’s milk. I’m not vegan, but I do follow a keto diet, and this product is good for both. The flavor is creamy and refreshing. It tastes better than traditional milk. At $5.48 for two 64 oz (1.89 liters) containers the price can’t be beat. I believe it’s organic as well. It’s a rare triple win.","['https://qph.cf2.quoracdn.net/main-thumb-5518819-50-vygirzpwkhpkzrzyrfrpghklbogwdtsg.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-be74487a2be84bdb998bcfa3118f4ca1-lq']"
Why does Ayurveda not recommend a vegan diet?,"Ayurveda does support Vegan diet. Ayurveda is the world’s oldest holistic healing method that is followed by most of the people. It is developed in India and aims more to prevent than treating disease conditions. Ayurveda mostly includes food that is cooked well, hot with added spices for better digestion. They believe poor digestion is the key for major disease conditions. They refer to milk, dairy products to be the important element for holistic health, no other food has the exact same qualities of milk. But on the other hand, they also have come up with ideas that replace items such as milk, butter, ghee, yoghurt, cheese with equally nourishing vegan alternatives such as coconut oil, avocados, raw almonds, raw tahini. Ayurveda also has alternative solutions for vegans, lactose intolerants.",['https://qph.cf2.quoracdn.net/main-thumb-1118263530-50-txngiwqldtvmfmnsdvaothjvqsnfrhhz.jpeg']
What are foods that are commonly eaten in the United States and not anywhere else in the world?,"2. Peanut butter and Jelly sandwiches 3. Peanut butter in general 4. American Cheese 5. Vegan alternatives to popular American foods. For example: vegan
American cheese
, vegan
hot dogs
, BBQ
vegan
jerky
, and vegan nuggets shaped like chicken nuggets. Some of these may exist in other countries, but I don’t think they are as common. 6. Fair foods like: corndogs, funnel cake, deep fried butter, fried oreos, and fried kool aid (yes, they exist!) These foods aren’t common staple items, but they are really popular at fairs!",['https://qph.cf2.quoracdn.net/main-thumb-179828046-50-nlnbarjmmsumkxotsoebkasueucpjeqb.jpeg']
Why do omnivores get so offended by vegan alternatives being called “burgers” or “sausages” when it doesn’t even affect them?,"The moment we choose to love we begin to move against domination, against oppression. The moment we choose to love we begin to move towards freedom, to act in ways that liberate ourselves and others. They just have not taken those steps yet and are jealous of those who do.","['https://qph.cf2.quoracdn.net/main-thumb-1720504276-50-czsytdnolrgkdlrnbuannqtqjiuqospr.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-b294101fcc4fe7541c69b04b126a8cf3-lq']"
Is veganism affordable?,"Yes, absolutely. It's a very common misconception that veganism is expensive. 1 kg potato costs around ₹20 whereas 1 kg chicken costs around ₹150. I don't see how veganism is expensive. We eat the exact same things that you eat, excluding the animals products. The products might seem expensive if you buy highly processed food or visit any vegan restaurant. Even if you visit any non vegan restaurant (say Mc Donald's or KFC), every item you'll find in the menu is expensive. The best way is to make vegan stuff at home. Prepare almond/coconut/cashew/soy mylk. Homemade vegan alternatives are even cheaper than the dairy products. I have even come across a watchman whose entire family is vegan because vegan products are much affordable to them. They buy peanuts worth ₹10 and prepare 1 litre of milk out of it. Even if you buy tofu from the market, it is still cheaper than paneer (cottage cheese). By the way, non vegan diet literally costs several lives. Veganism…not that much.","['https://qph.cf2.quoracdn.net/main-thumb-759007236-50-mydanguevmfjfagcbbzbrkusskxvwpbk.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-282ce1c0b75bf00b5353141bd58d4d7f-lq', 'https://qph.cf2.quoracdn.net/main-qimg-9f140e74eb159119b8056423c1835b24-lq']"
What do you miss most since becoming vegan?,"Hard not to be a bit regretful about cheese, but they’re coming up with a lot of good vegan alternatives.",['https://qph.cf2.quoracdn.net/main-thumb-36339340-50-foipjbdboonoiucebgokiuooydyrdecp.jpeg']
