question,answer,image_urls
"When someone wins an Oscar, they're given a 10-day trip to Israel. Why Israel? Why not Hawaii or the Alps or something like that?","Here are a list of some of the things in the Oscar Bag. Oscars 2019: Here's Everything Inside The $100,000 Gift Bag Each year, some countries offer free trips. One year, it was Israel. The next year it was others. This year, it’s the US, Greece or a choice between Iceland, the Galapagos, the Amazon, Costa Rica and Panama. It’s no more controversial for Israel to do it than any other country.",['https://qph.cf2.quoracdn.net/main-thumb-11798972-50-xliaddowynsvkgbwgnnfhtabqnmffxac.jpeg']
How can I lose weight while eating gluten and dairy-free?,"Actually, it’s pretty easy losing weight like being gluten and dairy free. That’s because pretty much all junk and snack foods include gluten or dairy. So base your diet on fish, eggs, meat, and lots and lots of vegetables and some fruit, and you should lose weight without going hungry. Don’t waste your time looking for gluten or dairy free alternatives to junk food. You’ll just pay a lot of money, won’t enjoy the taste and won’t lose weight.",['https://qph.cf2.quoracdn.net/main-thumb-212743660-50-siuzywpprhuzjltwhxvrwkqoqqhqyzkh.jpeg']
"If someone says they don't eat something (e.g burrata, fish, tomatoes, etc.) is it okay to just sub out another dish for them at the dinner party (I've had situations where people pull a surprise change at the end)?","When I have invited guests to my home for a meal, I try to make something I really think others will enjoy but when a guest tells me at the time I’m serving dinner that they are gluten free, dairy free, or a vegan, it is a little too late for me to offer them something they can eat. In my opinion, if a guest can’t let you know ahead of time of their dislikes, allergies, special diets, etc. it’s very rude and an imposition for them to not just eat what they can and just be quiet.",['https://qph.cf2.quoracdn.net/main-thumb-1492104355-50-irztmcevexyqaxbopdneqxtbzeodwvqp.jpeg']
Why are avocados classified as not vegan?,"Almonds, cherries, plums, avocados, alfalfa, sunflowers, clover, squash, clementines, tangerines, cranberries, blueberries, pumpkins, apples, and a whole assortment of other vegetables could be on the non-vegan list. What do these crops have in common? They are all pollinated by Apis mellifera, the European Honeybee. Hives of bees are transported around the country in complicated rotation as the crops bloom, so they can visit the fields and pollinate the plants. Without the hardworking little bees, we would have far fewer fruits, nuts and vegetables to put on the vegan table. Vegans object to using honeybees to pollinate crops, especially almonds and avocados because those are the heaviest users of bees. It is thought that the stress of constant transportation contributes to colony collapse, an issue that has become increasingly problematic. Vegans object to the exploitation of honeybees, either by taking (they say stealing) their honey, or by transporting them around to fertilize crops. But keeping track of which crops are pollinated by migratory bees and which are not, and figuring out how crops that require honeybees to pollinate them can be grown without the industrious insects, makes the issue a little more complicated than simply avoiding almonds and avocados. Both are good sources of healthy fats, protein and other nutrients essential when you are eating a meat and dairy free diet. https://www.scientificamerican.com/article/migratory-beekeeping-mind-boggling-math/ Home sick: impacts of migratory beekeeping on honey bee (Apis mellifera) pests, pathogens, and colony size",['https://qph.cf2.quoracdn.net/main-thumb-127566208-50-brivfufuidbtszrvopbedgmujjnxvgac.jpeg']
My mom only cooks disgusting gluten-free and dairy-free foods now that she is allergic to them. Sometimes she only cooks ground beef and noodles for dinner. What should I do?,"unless you are physically incapable, get busy and fix your own dinner.",['https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png']
Why are some Chinese girls so slim?,"The reasons are: 1. Diet. If you follow the traditional Chinese diet (lots of green vegetables mixed with small portions of meat and dairy-free), you won't gain weight easily.
2. Genetic. Chinese girls (especially southern ones) are smaller and more delicate in bone.
3. Social pressure. Chinese girls are not allowed to gain weight. You will be constantly reminded by your family, peers, shop assistants, well-meaning strangers, etc., that you need to be careful about your size.","['https://qph.cf2.quoracdn.net/main-thumb-ti-2172113-50-zzckjwbsgwfnpkfqrskjpftmwsmjavmz.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-26d1f4a3859c8901b2f589bb4202fed9-lq']"
"What is the most disrespectful thing you ever saw or heard in a restaurant, coming from a tourist?","Not sure if disrespectful or unobservant or even just plain dumb. There's a tiny little restaurant in the Latin Quarter in Paris called Le Chat Qui Peche (the Fishing Cat). The signage clearly says it specialises in regional specialities (mainly from near the Alps). The large and unmissable lettering in the windows boasts of raclettes, tartiflettes and fondue which featured strongly in the menu displayed outside. We are talking serious cheese consumption here with almost every dish containing vast amounts of delicious melted cheese. Even the onion soup is served with toasted bread and melted cheese, as is tradition. We stumbled across this restaurant one bitterly cold November day and nothing was more appealing than hot melted cheese with crusty bread, potatoes and ham. Just as we had been served our seriously cheesy main course and loosened our belts in preparation, two young American ladies entered and were seated. The whining started almost immediately. They both wanted dairy-free food and were harassing the very confused waiter as the only items on the menu they could possibly eat were sides of French fries or green salad. They eventually stomped out in disgust saying they would complain to every restaurant guide and the US Embassy. People, if you are on a restricted diet, please have the sense to have a quick look at the type of cuisine offered by a restaurant and a longer look at the menu.",['https://qph.cf2.quoracdn.net/main-thumb-829891569-50-warrcrizzsyccbpvoomdaskkjjshqefw.jpeg']
What does it feel like to be in your 70s?,"It is a wonderful time of life for me.
I am totally free.
I have no official responsibilities, my husbands are dead, my children are educated and well established.
I am retired from the workforce and travel to far challenging areas of the world. I have been to DPRK, just back from Sikkim and Bhutan and going to Rajasthan this year.
I am healthy, exercised, well fed, ( gluten and dairy free) and have a happy funky disposition.
I am wise and don't sweat the small stuff. I call myself an old fart.,my grands call me "" Vieille picouille"" ( old ratty horse)
I choose what I want to do with whom I want and when I want.
I drink wine with my friends, create singular meals, practice my piano, garden for a community, enjoy my grandchildren and take care of my beloved dachshund Pixel.
I am an introvert so I really enjoy my books and my jazz.
I am 74 and this is absolutely the best time of my life.
I recommend it to all who are thinking about it! Update. I am now 76, my beloved Pixel has died, went to Russia, Mongolia, China last year and going to Iran and to India again this year. It is still the best part of my life. Update. I am now 77, went to Iran and South India this year and going to Kenya and Tanzania and Ethiopia this year. I got bored of practising piano so now I am learning a third language on Duolingo and have a maestro once a week. It’s been 21 months and I’m 50% fluent. I will have a new dog early 2019 and will stop the very challenging trips to be free to train him.I still go to the gym 4 days a week and am healthier and happier than I was at 45. Thank you for the upvotes…..I am really proud of myself!",['https://qph.cf2.quoracdn.net/main-thumb-27240139-50-gwjmoyldtmwgwfcwgcsycudpgfkvvgvw.jpeg']
The vegan lifestyle is incredibly expensive and harmful. Why are people still vegan?,"You are wrong on all counts. It is not expensive to be a vegan because plant-based foods cost a lot less than meat and dairy-based foods. Of course, for vegans to save that cash, they need to be ready to shop for produce and learn how to cook it. Even if you are the kind of vegan who is willing to spend money on vegan processed foods, like dairy-free cheese (disgusting) plant-based meat substitutes (so disappointing) and imported coconut and tamarind yogurt at $3.95 a tub, it still won’t cost as much as meat and real dairy. And a vegan diet is not harmful. The only essential nutrient missing from vegan and some vegetarian diets is B12, and you can take that as a supplement. Now, I have mentioned vegans I have known whose diet is based on canned creamed corn and Skittles, but I don’t think those people count as vegans. They just like to say they are vegans. Most of the vegans I know have a clue about how to feed themselves well without animal products because they know about a variety of vegetables, legumes and nuts, and they know how to cook. People become vegans for all kinds of reasons. Most are perfectly nice people who don’t feel the need to remind you constantly that meat is death. The worst thing about vegans is trying to find a restaurant you are all ok with eating at. If you get stuck with a dear friend sitting across the table from you who spends ten minutes interrogating the waitstaff about secret chicken broth and bootleg butter, you can become homicidal kinda fast, especially if you are hungry. This is the closest veganism comes to being dangerous: the hostility of family and friends. But expensive and harmful? I’m afraid you have been misinformed, my dear.",['https://qph.cf2.quoracdn.net/main-thumb-49730388-50-qrmxthzzqwvtfqnnmzonobibjelnqkel.jpeg']
What are some pictures of your cooked food?,"Granny Smith apple turkey burger w/carmelized onions, cider vinegar slaw, dairy-free Swiss, and a gluten-free bun Free range organic chicken meatballs in a sour cream gravy Gluten free dairy free Mexican lasagna Chicken Kiev with smashed potatoes and a blackberry spinach salad w/walnuts Crockpot chicken and dumplings Jambalaya w/black-eyed peas and Andouille sausage Beef spedini w/mango spinach salad (I like spinach more than Popeye) Pumpkin cheesecake gooey butter squares The Recipe: (Sorry it took me so long) Decadent Pumpkin Gooey Butter Cake Recipe - Paula Deen","['https://qph.cf2.quoracdn.net/main-thumb-206434326-50-wgcblcztmcjsmsfjwkebfxkedrnzsezo.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-d45012cf5a8b1629b05ad55b3ab572e8.webp', 'https://qph.cf2.quoracdn.net/main-qimg-523cec4f96330eb846873f8501dd4d44.webp', 'https://qph.cf2.quoracdn.net/main-qimg-d21ba51157caf6c9a8ebd974bbbdab78.webp', 'https://qph.cf2.quoracdn.net/main-qimg-e47f178c45c0e1b5d880bf1d07196283.webp', 'https://qph.cf2.quoracdn.net/main-qimg-0d39cd814c7d8be1cb425ceea8faaef5.webp', 'https://qph.cf2.quoracdn.net/main-qimg-1008a4687daad6c3990c8c035a90e100.webp', 'https://qph.cf2.quoracdn.net/main-qimg-8641323bbc7301b51d4dd77c86d55100.webp', 'https://qph.cf2.quoracdn.net/main-qimg-2f1fbde4ae8aaab297a421d85be88ffb.webp']"
Is human breast milk nondairy?,Only if the mother maintains a dairy free diet. My god daughter is highly allergic to milk protein and we discovered this when she was being breastfed. Her mum was advised by her doctor to go dairy free. Symptoms stopped within three days. Mum tried to reintroduce dairy to her diet. Baby’s symptoms came straight back.,['https://qph.cf2.quoracdn.net/main-thumb-478562157-50-gwprdbwvsjidzkkzzxruozawanrnnpss.jpeg']
"Can I still be a vegetarian if I eat things like chips and chocolate? I just found out that lots of stuff isn’t vegetarian. If I still eat these things, but not meat. Am I still a strict vegetarian?","Vegans, or strict vegetarians, can still eat chocolate, just not milk chocolate. It’s very easy to find dark chocolate and dairy-free dark chocolate chips so yes, you can eat chocolate and be considered a strict vegetarian but only if you are eating the right kind. Chips are usually dairy-free unless they are things like Doritos that are flavored with cheese. Eating non-cheese flavored chips is fine.",['https://qph.cf2.quoracdn.net/main-thumb-48463250-50-vaiqrhpqyrcepxcvalnrcqpcrmkvmipl.jpeg']
Is Dim Sum dairy free?,"Some dim sum dishes are not dairy free especially the sweet food such as custard egg bun or lava egg yolk bun, egg tarts, ma lai go (Malay cake) for instance use cow’s milk fresh and/or condensed milk and butter in the dough and filling. Certain cold desserts may also use dairy products especially the milky looking ones. But it could be soy or almond milk. Cheese and yogurt are normally not use in dim sum dishes. That leaves mainly the savory dishes that are dairy free.","['https://qph.cf2.quoracdn.net/main-thumb-211391435-50-ltkvnyjkzafzpgncaknfqmgupbphgamt.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-2cff1727fa596523082884a43737b26d-lq', 'https://qph.cf2.quoracdn.net/main-qimg-d7e17b9a356d0622e225c486bb4c7128-lq', 'https://qph.cf2.quoracdn.net/main-qimg-ea336aade3fb611a83b5cd374d9dc850-lq']"
I have started a glutin and dairy free diet. Are there benefits?,"If you don’t have a problem with gluten, then going gluten free will have no benefits. If you don’t have a specific dairy allergy (to the protein in milk or something of that nature), then going dairy free will likely have no benefit.",['https://qph.cf2.quoracdn.net/main-thumb-255355177-50-zvvcocmxsjuexrojddezkqrbkjjdivpg.jpeg']
What should you say to your server if you want to send your food back?,"I have a son with a dairy allergy, so unfortunately this happens much more frequently than I care for. Just yesterday - at a higher-priced small chain restaurant with 3–5 locations - my son ordered off the vegan menu something like a chicken parmesan sandwich - breaded chicken breast, vegan mozzarella, and tomato sauce. [Edited here to add that the vegan menu offered vegan chicken or grilled tofu … my son checked the ingredients with the server for regular breaded chicken since he’s not technically vegan and that chicken was safe to eat.] The server took note of the order (“vegan cheese”), and went off. The sandwiches all finally arrive (there were four of us) and his has a sprinkle of what looks like parmesan cheese on the outside of the bread. Call the waitress back, point out what looks like regular cheese on the outside (assuming that the cheese inside the sandwich is dairy free, but who knows) and ask her to check with the kitchen. She comes back with a plate of fries, apologizing appropriately about the sandwich with a comment that it’ll be a few minutes while they make a new one. Looking at the plate of fries, there is melted cheese on the fries in the corner - I assume it’s from either his very own plate (and thus dairy free cheese) or a sloppy kitchen that spilled cheese of some sort into the fry tray. My son is allergic, this is not a food preference, so I call over the manager. He takes the fries back with another hearty apology. Very soon the server comes back with a complimentary cup of chili for my son - he had made a comment about chili earlier. This was a very good gesture of good will. By this point my husband was nearly through his sandwich, my sister was 80% done with her entree salad, and I had eaten only half of my fries but was waiting on my own sandwich out of solidarity with my son who had eaten very little so far while waiting. The sandwich is finally delivered by the manager. We smile and say it looks good, thanks for checking on it. My son immediately realizes that they gave him DOUBLE breaded chicken breast inside - probably to say “sorry”. He also notices cheddar cheese instead of mozzarella… on a chicken parmesan sandwich. Who uses cheddar on a chicken parm? Oh well… he didn’t want to wait another 10 minutes for them to correct it *again* to the original order.",['https://qph.cf2.quoracdn.net/main-thumb-57868752-50-xvktjeiuzoevwizxswzcntfqedxassuw.jpeg']
What are some tasty recipes for dairy-free mashed potatoes?,Coconut cream is a delicious substitution.,['https://qph.cf2.quoracdn.net/main-thumb-15798-50-0zMWx5K7jx0ZE07aabczg5Iyhud2hg9p.jpeg']
