question,answer,image_urls
"Why do most restaurants add an up charge when ""gluten free"" pasta is requested?","Original question: Why do most restaurants add an up charge when ""gluten free"" pasta is requested? When they say ‘gluten free’.. they mean gluten free. The pasta is far more expensive than usual pasta (and you also get less). The area used to prepare the meal has to be 100% free of gluten.. never mind the food itself. Essentially the restaurants (and also private homes) needs their own area for gluten free products (they might either have a separate area or they need to clean the chosen area down properly at least twice before use.. and then wash everything that’s about to be used in the dishwasher (or at least make sure there’s no chance its been contaminated. Just a single mistake (say just touching something or someone adding flour to a dough they’re kneading that’s a little too close+) can be enough for someone to become quite ill afterwards (depending on how sensitive they are). .. Once the area has been properly cleaned (and the same with the tools) they also need to ensure that there’s no trace of gluten in whatever they use for the meal (which does include their own ingredients (as in opening new ones if the oil or whatever you plan to use has been used for meals with wheat or in an area where there’s been products containing gluten products).. And lets just say that that’s not always as simple as it looks (everything has to be checked and sometimes there’s other names/words for gluten and wheat+ than the obvious ones. .. Including spices and even butter (if they prepare something containing gluten in the same factory they can’t guarantee there’s no traces of it in whatever else is prepared there). .. Never mind that cooking gluten free is a pain unless the original recipe was gluten free to start with (the taste is not the best either.. never mind how ‘easy’ it is to make healthier options unless you go partially low carb or similar (say using a cauliflower pizza crust instead of a dough one or similar). Gluten free is complicated and expensive essentially and it requires a lot of attention to detail that makes the additional cost ..understandable. Unfortunately. (a friend is mine has celiacs.. and just trace amounts of gluten makes said friend extremely sick for days and can even cause permanent damage given a little bad luck. And just to be clear; if you don’t have gluten intolerance or gluten allergy or similar (as in your doctor advised you to eat such or you have a condition where it might be beneficial) there’s no real health benefits to going gluten free (if you suspect you have it.. get yourself tested before you go gluten-free.. If you don’t you’ll have to eat a lot of gluten over a longer period of time to get an accurate test.. and if you were right.. wince). Quite the contrary as gluten free products often have a lot of stuff added to make it taste better (and I don’t mean healthy ingredients but things like extra fats and sugars and more.. and forget about fiber unless the stuff you eat has some kind of gluten-free fiber added). On top of that normal wheat flour has added minerals and such that are beneficial for you while the gluten free flour.. well.. its not the same. While in a way I’m glad that more people are choosing to eat free from diets for no medical reasons (except when we’re talking about children being fed such without a medical diagnosis.. which can affect their development when parents don’t really understand the difference between gluten free vs a normal diet with gluten..).. as that means my friend has far more options what was once available .. On the other hand it also makes it harder to eat out (even if there’s more options) as many restaurants are less careful since there’s so many that don’t actually need to eat gluten free and therefore may consume food or drink that contain gluten (like beer) while still ordering a gluten-free meal. .. So.. Going gluten-free just because? Here's what you need to know - Harvard Health Blog Health Benefits and Adverse Effects of a Gluten-Free Diet in Non–Celiac Disease Patients",['https://qph.cf2.quoracdn.net/main-thumb-237928295-50-ffurzndxaobuhrbxkhsfysqklilsxmpg.jpeg']
Why are so many people eating gluten free food?,There are two kind of people who go gluten free.,['https://qph.cf2.quoracdn.net/main-thumb-956390-50-s5VGN0mUs71cQeEapdJdPhcq41EyfbTA.jpeg']
What is the strangest culture shock you experienced when visiting America?,"1.The portion of the food 2.The obesity 3. The lack of a good, punctual, clean , comfortable public transport 4. The homeless people 5. The huge amount of sugar free, gluten free, low fat, low carb, low calorie, low sodium food available, and yet the majority of people are obese 6. The casual racism 7. The disparity of the wealth 8. The tipping culture. The need for tipping in restaurant, hotel, hair salon etc. Even taxi drivers expect you to tip ! 9. The blatant display of selfishness & rudeness 10. The people need to talk in loud voice",['https://qph.cf2.quoracdn.net/main-thumb-750400562-50-lyhfldfxbocramjahtvdllnuekbqwxuy.jpeg']
Has someone ever tricked you into eating something that is not a part of your regular diet (Ex: a vegetarian fed meat)? What happened?,I wasn't really tricked into it (but know people that have been). I am gluten free. At my grandad's funeral my mum had told the catering that I was gluten free. They assured it would be ok. They brought out some sandwiches and put them with the rest of the buffet. I asked if they were gluten free. They said yes. I brought them to the table and looked at them and didn't trust them. Everyone else was eating but I sat there. My mum took them to the kitchen and they double checked. Yes they were gluten free. I still wasn't convinced. My mum convinced me to just eat one because they assured us they were fine and I couldn't not eat anything. Against my better judgement I did. I was sick 5 times on the 3 hour car journey home. I've learnt to always trust my gut and my mum knows now to always trust me too.,['https://qph.cf2.quoracdn.net/main-thumb-ti-1753110-50-mjoqlayaadvjuenqflbphyosnvkvcoxx.jpeg']
Why doesn’t my gluten-free bread taste good? How can I get the taste and texture the same as gluten-containing bread? Does anyone have a good recipe?,"The person who does will make a fortune. Gluten is what gives bread its distinctive texture and taste Rather than trying to make a gluten free copy of gluten bread, why not eat a different sort of bread? Make irish soda bread with gluten free oats for a more solid, textured bread with a distinctive taste. Also very easy to make: oats, bicarb of soda, salt and buttermilk, and whatever you want to add. It doesn't require proving or a lot of kneading and you can have a loaf of warm bread on the table in half an hour.",['https://qph.cf2.quoracdn.net/main-thumb-212743660-50-siuzywpprhuzjltwhxvrwkqoqqhqyzkh.jpeg']
What commonly-believed myths about diet and nutrition annoy you the most?,"As a baker: the unsubstantiated and uninformed worry about gluten. True story: Lady comes to my bakery. Grabs a sample, stuffs it into her mouth. Asks ""Do you have anything gluten free?"" I think ""Lady, if you would be really gluten intolerant you wouldn't just eat any piece of bread you see on a plate"". What I say is my standard reply: ""No sorry, I don't do gluten free because I can't keep it separate from the normal bread making."" She says ""Ahh well, then I take a French Seed batard"" and choses the bread with the most gluten. Arrgghhh. Don't get me wrong, coeliac is a horrible disease. I don't talk about those people who suffer from it. A good friend suffers from it and I know what it is. But this latest fashion, that gluten is the new evil and is made by satan himself drives me crazy. People who say ""I skip the gluten and I feel so much better"" while munching on a ""bread"" (quotes intentional) which is made with artificial emulsifiers, loaded with sugars and other shite. Other pet hate: People who don't understand that a calorie is a unit for energy. They talk about good calories and bad calories. I usually ask them one question: ""What do you think is the longer distance, 1 km/mile travelled by foot or 1 km/mile driven in a car?"" or ""What is heavier? 10 kg of feathers or 10 kg of lead?"" Uhh I feel so much better now. Thanks for listening. Lol.",['https://qph.cf2.quoracdn.net/main-thumb-135695410-50-qtnmertvjjnjnrtmvvfaraeeabrrzjsb.jpeg']
Is pasta healthier for you if it's gluten free?,"No. Gluten is just a protein. It not only binds the starch together to give pasta structure and bite, it also provides lots of nutrition and healthy ammino acids, which make pasta (in the right amounts) a healthy food. A small percentage of people suffer gron celiac disease or other forms of gluten sensitivity (none of these other forms have been scientifically proven) and can't eat gluten. For everyone else gluten is perfectly OK. Gluten free products are made with lesser flours with binders to hold them together and additives to hide unpleasant flavors. They are a necessity for those people who can't eat gluten, but they are significantly less nutritional and healthy than the regular product containing gluten for everyone else.",['https://qph.cf2.quoracdn.net/main-thumb-956390-50-s5VGN0mUs71cQeEapdJdPhcq41EyfbTA.jpeg']
What is the difference between inorganic zinc and organic zinc?,"About 227%, according to a quick Amazon search. In dollars, that is. “Organic” zinc is marketing hype for rubes. Zinc is, by definition, an inorganic mineral. It is neither grown nor raised, so “organic” standards for, say, crops or livestock don’t apply. Organic zinc is like non-GMO salt: Or organic water: It’s a way to bleed money from the dumb, the gullible, the undereducated, and the easily manipulated. Hey, I’ve got it! There’s surely a market for organic, non-GMO, all-natural, gluten-free asbestos.","['https://qph.cf2.quoracdn.net/main-thumb-4885040-50-stUmLZrbJDTFFYfUXxtcCfdsL9q7OeQc.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-cc4b39346efcf19611edc2029002d765-lq', 'https://qph.cf2.quoracdn.net/main-qimg-b48f13756d668a9cce5ff7d2a875bc71-lq']"
What can I do if I’m the only gluten-free person at a party?,"If you are a diagnosed Celiac you either notify the host with enough time for them to make accommodations, or you avoid the foods that may have gluten. If you’re avoiding gluten by preference, you could just eat what’s served.",['https://qph.cf2.quoracdn.net/main-thumb-14361-50-tsbulbwceecydqjgnhaidlzqnfmcvzie.jpeg']
My wife says cleaning the house for her is romantic. Is it?,"I'll tell you what is definitely unromantic: not listening to your wife and trying to get a bunch of internet strangers to contradict her. Your beloved has made a request. It's easy to honor. It's inexpensive. It's a responsible activity. It's even low calorie and gluten free! This isn't that hard. I've done the laundry, most of the cooking, and a fair subset of other chores throughout 23 years of marriage. From all appearances, my wife finds it very conducive to romance.",['https://qph.cf2.quoracdn.net/main-thumb-38709882-50-ystomutgyckhjvxqitrllzjbnhmrwxyr.jpeg']
"Is gluten bad for everyone, and should I go gluten-free even if I don't suffer any symptoms?","Absolutely not. Humans have been eating gluten since we found out that grass seeds are edible, and the rise of agriculture led to explosive evolution of our digestion: genes for digesting gluten doubled and doubled again, so we are now very efficient at digesting it. On average, that is. If you do suffer symptoms, and especially if you have seen a doctor about it to confirm that gluten intolerance is indeed your problem, then you should of course refrain from eating gluten.",['https://qph.cf2.quoracdn.net/main-thumb-171207913-50-nuvrqsmqmbtmomaogamujiulbffsybnj.jpeg']
What does gluten do in wheat flour?,"First of all what is gluten? It is not a poison or an additive, it’s just the natural proteins of the wheat (and other grains, not all grains). It’s an important nutrient and perfectly healthy for most people. The “network” created by gluten in a dough When you make a dough, kneading the gluten creates a net structure that gives cohesion to the dough and make it strong, so that it does not melt while boiling. If you knead a bread, the gluten makes it possible for the dough to ferment with the help of yeast or sourdough. The gluten traps in the gasses produced by this fermentation and create a light, flavorful bread. Gluten-free flours can’t create this structure, so the dough can’t trap the gasses created by the fermentation. This means that in order to make gluten-free bread one must add “adhesives” like egg or Arabic gum (or other less healthy additives), and flavors to make the tastes more agreeable.","['https://qph.cf2.quoracdn.net/main-thumb-956390-50-s5VGN0mUs71cQeEapdJdPhcq41EyfbTA.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-42537d480c906237d2852021c3edb775-lq', 'https://qph.cf2.quoracdn.net/main-qimg-06c9afbcddac2d6b96d7a0ea32f37747-lq']"
What are the cons of going on a gluten free diet if you do not have a gluten allergy?,"Absent a valid medical reason to avoid gluten, the cons include:",['https://qph.cf2.quoracdn.net/main-thumb-14361-50-tsbulbwceecydqjgnhaidlzqnfmcvzie.jpeg']
Is kosher food like gluten-free or low-cholesterol food? Why do we use so many colorful adjectives when it comes to advertising our wares to the general public? Isn't food food?,"No. Kosher food is food that conforms to Jewish laws about permissible and non-permissible foodstuffs. Gluten-free food is food that people with Coeliac disease can eat without suffering agonising bloating, diarrhea, intestinal bleeding, and cramps. Low-cholestorol food is food for people who are trying to control their cholestorol and would prefer not to suffer blocked arteries or pop their clogs from a heart attack. So, no. Food isn’t all just “food”.",['https://qph.cf2.quoracdn.net/main-thumb-135320241-50-hcwqcvhmsxytmcdmomnjcfxrrbqwwazr.jpeg']
Is Turkey Hill homemade vanilla ice cream gluten-free?,"Turkey Hill is one of the lowest quality widely available ice creams on the market, and while the “vanilla” flavor is gluten free, it is also remarkably free of vanilla, consisting instead of a synethic compound sourced from sawdust to imitate vanilla flavor, along with mono and diglycerides, carrageenan (a seaweed extract) and cellulose gel. Yum!","['https://qph.cf2.quoracdn.net/main-thumb-416998279-50-nekannhsldvddmlumimnumqrpddnpssx.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-c6d94073cd2eefd4d0577b946c919624-lq']"
