question,answer,image_urls
What are the proxy vegetarian dishes for the popular non-vegetarian dishes?,"What I thought is that you can try the substitutes listed here using an authentic nonveg recipes ,so just listed the well known substitutes for the main ingredients !",['https://qph.cf2.quoracdn.net/main-thumb-605451279-50-agwdlxovkoqxrbbkppzpfnxyglgeykxz.jpeg']
What is a cat's definition of a perfect life?,"A cat cherishes loving human company, despite all those ignorant rants about cats being “so aloof” or “independent”. Mine also love to go out in the sun on their secured balcony (it's netted so they can't fall). They adore occasional catnip and other treats, roasted chicken substituted for canned cat food now and then, being gently brushed, petted, and allowed to lap-sit. They seem genuinely to enjoy my talking to them or even singing to them (I don't have the world's worst singing voice, though I am not sure it would matter to them). Cats make most affectionate pets. If you are patient and kind with them, they will want to spend time close to you.",['https://qph.cf2.quoracdn.net/main-thumb-157191907-50-yazdgwsphtobryzcjfhfztnneewrwrau.jpeg']
What is a good replacement for chicken?,"Tofu. Perhaps the most well-known chicken substitute in the world, tofu can be used in place of almost any type of meat, and is a fantastic vegetarian alternative in most meals.",['https://qph.cf2.quoracdn.net/main-thumb-420371814-50-pzfcdpaxzudxmcczkxqojvjhkgzaaysh.jpeg']
What is the Second Coming’s favourite food?,"“Almost Chicken” i.e. plant based chicken substitute from Kentucky Friend Chicken, along with cole slaw, corn on the cob, and mashed potatoes con gravy.",['https://qph.cf2.quoracdn.net/main-thumb-538411644-50-xwgbhsoopqqvrqrtxiebpdcfifedwdbj.jpeg']
Is there any chicken equivalent in vegetarian food?,"Vegetarian-Friendly Chicken Substitutes Seitan Praised by many as possibly the best meat substitute available, this “wheat meat” mimics the look and texture of meat incredibly well. With seitan, you can even imitate a variety of meat textures, from silky soft to firm and meaty. In terms of protein content, seitan packs a punch with a generous 36 grams of protein per serving, winning over other popular vegetarian-friendly chicken substitutes. Try mixing seitan with grains, tofu and beans for a variety of tastes and textures that will appeal to your vegetarian diners.",['https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png']
Why do people eat big slabs of meat?,"Per your picture: because they don't know how to cook meat. Steak (and beef in general) is fairly unique among meats on that you can eat beef entirely uncooked—and still have it taste delicious. If you don't believe me, I challenge you to have steak tartar done well: I'd personally go so far as to assert that beef cooked anything beyond medium rare is a heresy. Beef can have a wonderfully rich taste, texture, and all around mouth feel to it. You can have it near-raw, you can have it cooked for hours in a complex stew, threaded with complex, melded flavors. It's a dish that is filling, complex, and amazingly versatile. In almost all beef dishes, the beef is the central thing. So is lamb and mutton. Usually, they're central tastes in a dish and tend to be used as a centerpiece of flavor. In other words, other flavors work in support of that meat. Chicken—like what your picture may be—is different. Chicken is good in a fairly narrow range: if you cook it too much, it gets rubbery; if you cook it too little, it can be dangerous. Many people err on the side of caution and overcook their chicken rather than pay attention to the meat. The upside to all of that is chicken doesn't overpower the flavors of a dish. It will absorb and help the various other flavors and fragrances but doesn't have a strong enough taste to shoulder them out. It provides solidity and protein to a dish without changing much the taste. Contrary to beef and mutton, chicken supports the other flavors in the dish. Turkey is even worse: that arguably is best only within a certain temperature and a specific preparation. Overcook turkey or don't brine it? It gets dry and tasteless. And, like chicken, you can't really undercook it safely. But if done well and prepared thoroughly, turkey can be succulent and rich. But its use is rather limited: usually as a slightly more flavorful chicken substitute. So, your picture: it looks like someone breaded that chicken (?) poorly and overfried it. That probably knocked out all the subsidiary tastes in the batter and spices and just made the chicken rubbery. My guess is they did that because they didn't really know how to fry the chicken well—just enough so it's cooked, not so much that all it's wiped out all taste. No wonder you'd wonder why people would eat that. As to why people eat meat at all: well, in a lot of Western cuisines, the meat is the centerpiece of the dish. Just as people in Asia might not consider something a true meal without rice (or perhaps a rice-based starch), people in the West tend not to consider a meal a meal without a meat dish, provided they're not vegetarian.","['https://qph.cf2.quoracdn.net/main-thumb-76561259-50-wyemmrvrisqvzwrkozyrydetaplgtbld.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-7573c96b92c91344a3733a3cec6ef7dd.webp']"
Which type of vegetarian food intake can give us protein equal to meat and fish?,"Vegetarian-Friendly Chicken Substitutes Tofu. Tofu, also known as bean curd, is made from soya bean milk. It is an extremely low-fat and nutritious alternative to meat, containing high amounts of protein, calcium and vitamin E. It's extremely versatile and flavoursome when you cook it well. Beans and Sprouts. ... Nuts. ... Potatoes. ... Seitan.",['https://qph.cf2.quoracdn.net/main-thumb-745195591-50-pdlvmjelpgzqhdedfxsoaiedjcocteou.jpeg']
What are the best vegan alternatives?,"Emily Rizzo is absolutely correct. I’d like to come at your question from a slightly different angle. Unless you have already given up all animal products, my advice is to taper. You can easily ruin an attempt to become vegan by trying to quit cold turkey. Or cold Tofurkey in this case. Get rid of red meats, make do with chicken, fish, etc. Then move to chicken substitutes like Qorn and learn to make dishes with high-quality meatless hotdogs and meatless sausage, as low as possible in sodium, or using skimpy quantities. There are lots of milks made without bovine help, and you should try them all. My favorite is Oatley. On cereal and in coffee it completely satisfies my milk craving—a formidable task for mere oats. If it’s not in your grocer it can be ordered.",['https://qph.cf2.quoracdn.net/main-thumb-14236795-50-sldhdhzjpgzoebaavlbnsikylusnipjb.jpeg']
Can you substitute chicken thighs in a recipe that calls for chicken breasts?,"I can’t add a lot to the other answers - yes you can use thighs instead of chicken breasts, but the flavour, texture and nutritional content will change slightly, because thighs have a stronger flavour, softer texture and higher fat content. You could also try substituting other protein sources - the recipe police won’t pounce! Depending on the actual recipe, you may find that a steak of firm fish works well, for example, although you will probably need to reduce cooking time. Here in the UK you can buy vegetarian chicken substitutes, which I understand some people actually like (yuck!) In smmary, I think what I am really saying is give it a try - if you’re doubtful about it, try it out on yourself before you let it loose on anybody else - you can always bin it and have a cheese sandwich!",['https://qph.cf2.quoracdn.net/main-thumb-24930155-50-HVgTh1bgV6tvAAKSMB4CKTlb8bZZ78Na.jpeg']
What is the best grilled chicken substitute for a new vegan?,You can always try these if you cannot survive without meaty flavours. Hopefully these are close to what you require.,['https://qph.cf2.quoracdn.net/main-thumb-556562006-50-ebskryhcxcwohkcbdhenvnqsfprkdvnu.jpeg']
What goes well in a creamy (mycoprotein) chicken dish?,"Ooh, pesto! I mean, personally I think pesto goes with most things, but chicken (or chicken substitute) and cream / yoghurt and pesto is one of the yummiest combinations there is. You can make your own pesto by finely chopping and mushing up pine nuts, basil, garlic, olive oil and cheese (Parmagiano is traditional, but I sometimes add pecorino, or substitute something like Grana Padano which is half the price over here) in a pestle and mortar. Don't be tempted to use a blender or it'll go too goopy. Alternatively jarred pesto works just as well for this particular recipe (yeah, yeah, I said it, don't have a heart attack folks) since heating the pesto changes the flavour a lot anyway. Anyway, fry the chicken / chicken substitute with a little oil. I like to add diced onions at this point. Then, in the same frying pan, add your cream or yoghurt and your pesto and let it simmer for a few minutes. I'm not sure how mycoprotein works (I don't cook with it) but in the case of chicken the sauce will soak up all the juices from the pan and be really yummy. I suppose you could just blend the pesto and cream / yoghurt to make a sauce without heating it, but that doesn't sound quite as tasty to me. I like to serve over tagliatelle with some cherry tomatoes and maybe a little raw spinach and pine nuts, but you could leave out the pasta if you're going low-carb, or use rice instead. And now I'm wondering if it would be good adding that sauce to sautéed mushrooms, or if the pesto and mushroom tastes would overpower each other. I might have to try that when I get home.",['https://qph.cf2.quoracdn.net/main-thumb-27131569-50-hqxggrwzqzbvaxdifybguasyxziysczq.jpeg']
"Did McDonald's unveil its own meatless burger called the McPlant and in the future, McPlant could extend across a line of plant-based products including burgers, chicken-substitutes and breakfast sandwiches?","Did McDonald's unveil its own meatless burger called the McPlant and in the future, McPlant could extend across a line of plant-based products including burgers, chicken-substitutes and breakfast sandwiches? You should know as well or better than anyone since you phrased your question almost verbatim from a news article concerning the McPlant. Plagiarize much??",['https://qph.cf2.quoracdn.net/main-thumb-135379155-50-xunesatetqnvryzkvyuqpyoeyafnbnqp.jpeg']
How can I make a vegetarian version of chicken and dumplings?,"Gardien is a brand (found in Safeway etc.) that makes some chicken strip substitute. Although I don't think you can find a fake fryer, you should be able to find a) recipe for chicken substitute or b) a prepared substitute. However, you won't know how that substitute if you find one will work out in the recipe. So just do vegetable stew with dumplings. You can find hundreds of great vegetarian stew recipes online. You can also do a vegetarian soup with dumplings.",['https://qph.cf2.quoracdn.net/main-thumb-18353769-50-QHPvkJlscYwLTDpCPdA5qoRKdTE4UUhy.jpeg']
What is the best substitute of chicken for a vegetarian to get an equal amount of protein?,"Tofu Perhaps the most well-known chicken substitute in the world, tofu can be used in place of almost any type of meat, and is a fantastic vegetarian alternative in most meals. Vegetarian-friendly chefs recommend trying tofu nuggets, kung pao tofu or even barbequed tofu. These dishes are so good, they’re even well-liked by meat lovers.",['https://qph.cf2.quoracdn.net/main-thumb-919389871-50-kwmhsxoguayfvmkfztcjlchgipqsechv.jpeg']
How can I become a vegetarian and is the diet expensive?,"Becoming vegetarian is very easy. You stop eating meat, poultry and fish. As far as I know these are not cheap, so becoming vegetarian can cost less actually, if you are ready to eat a lot of legumes, which are cheap. Hiwever, if you are planning to eat a lot of “substitutes”, like neat substitute, fish substitute, chicken substitute, then yes, the bill will be expensive.",['https://qph.cf2.quoracdn.net/main-thumb-25763941-50-pdwxqvijjanzaimbxhmsytfxhrcvlkim.jpeg']
How do you feel about meat substitutes like Beyond/Impossible Meat?,"Some are quite nice. Many of the chicken substitutes are very good. The beef/pork substitutes are nice, but less convincing. Some don't cook up quite the same as real burgers, with some carbonization on the outside, whereas the “chicken"" ones are helped by a crumb coating. It has to be said that I tried fake Lorne sausage, and was very impressed, as the taste, and cooked texture were, IMO, just about the same.",['https://qph.cf2.quoracdn.net/main-thumb-30106080-50-a3qvgHvSVxCENlyfV8QZX4pToD1jHwGj.jpeg']
Are chicken of the woods poisonous?,"Chicken of the Woods is a type of wild fungus that is edible, although it needs to be cooked before eating. It is often used as a meat substitute in stews or stir fries, as it tastes like chicken. Despite this, do not eat this if its host tree is a Yew tree, as the fungus might then retain some of the tree’s toxic alkaloid properties. Never consume any kind of wild fungus unless you are absolutely sure of the type and properties of the host tree and the genus of the fungus. Very often, poisonous fungi can easily be mistaken for edible ones.","['https://qph.cf2.quoracdn.net/main-thumb-1129610027-50-gywhxnikdwgljdqsuetkffbrsulaiugt.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-caf9f9bd10639baa50d0314bec14a340-lq']"
Which classic recipes do you have that you give a surprising twist to?,Certainly! Here's a selection of classic vegan recipes with surprising twists:,"['https://qph.cf2.quoracdn.net/main-thumb-937679810-50-xatgjninqobkmkxckgclacxrazualhrc.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-11ef2378d24ea731843f447506e8363c']"
What does the US have that does not exist in the UK?,"Medical debt
School shootings
Mass shootings
‘At will’ employment
Hormone infested beef
Salmonella infested chicken
High fructose corn syrup as a substitute for food.
Cleric infested judiciary
Elected dog wardens
Elected prosecutors
Elected Police chiefs
‘For sale’ politicians
Unlimited electioneering spending",['https://qph.cf2.quoracdn.net/main-thumb-1201287955-50-nsbnyipayqvhyiturdxktuflxfulesbm.jpeg']
